ID_1,STATE_UT_NAME,Rainfall_statewise,Zones ,Latitude,Longitude
1,ANDAMAN & NICOBAR,8734.2,SOUTH ZONE,11.66702557,92.73598262
2,ANDHRA PRADESH,12356.2,SOUTH ZONE,15.9129,79.74
3,ARUNACHAL PRADESH,46838,EAST ZONE,27.10039878,93.61660071
4,ASSAM,66267.7,NORTH EAST ZONE,26.7499809,94.21666744
5,BIHAR,45621.1,EAST ZONE,25.78541445,87.4799727
6,CHANDIGARH,1070.6,NORTH ZONE,30.71999697,76.78000565
7,CHHATTISGARH,23154.3,CENTRAL ZONE,22.09042035,82.15998734
8,DADRA &NAGAR HAVELI,2374.1,WEST ZONE,20.26657819,73.0166178
9,DAMAN & DIU,3071.4,WEST ZONE,20.26657819,73.0166178
10,DELHI,6723.9,NORTH ZONE,28.6699929,77.23000403
11,GOA,6557,WEST ZONE,15.491997,73.81800065
12,GUJARAT,24032.9,WEST ZONE,22.2587,71.1924
13,HARYANA,12905.7,NORTH ZONE,28.45000633,77.01999101
14,HIMACHAL PRADESH,16459.1,NORTH ZONE,31.10002545,77.16659704
15,JAMMU & KASHMIR,13117.7,NORTH ZONE,32.7266,74.857
16,JHARKHAND,31282.5,EAST ZONE,23.80039349,86.41998572
17,KARNATAKA,35838.5,SOUTH ZONE,12.57038129,76.91999711
18,KERALA,41123.5,SOUTH ZONE,8.900372741,76.56999263
19,LAKSHADWEEP,1600,SOUTH ZONE,10.56257331,72.63686717
20,MADHYA PRADESH,51615.5,CENTRAL ZONE,21.30039105,76.13001949
21,MAHARASTRA,44750.6,WEST ZONE,19.25023195,73.16017493
22,MANIPUR,22469.7,NORTH EAST ZONE,24.79997072,93.95001705
23,MEGHALAYA,25779.9,NORTH EAST ZONE,25.57049217,91.8800142
24,MIZORAM,23564.9,NORTH EAST ZONE,23.71039899,92.72001461
25,NAGALAND,21347.7,NORTH EAST ZONE,25.6669979,94.11657019
26,ORISSA,43983.6,EAST ZONE,19.82042971,85.90001746
27,PUDUCHERRY,5513.9,SOUTH ZONE,11.93499371,79.83000037
28,PUNJAB,12970.9,NORTH ZONE,31.51997398,75.98000281
29,RAJASTHAN,19192.7,WEST ZONE,26.44999921,74.63998124
30,SIKKIM,11353.4,NORTH EAST ZONE,27.3333303,88.6166475
31,TAMIL NADU,30720.2,SOUTH ZONE,12.92038576,79.15004187
32,TELANGANA,9380.5,SOUTH ZONE,18.1124,79.0193
33,TRIPURA,9916.5,EAST ZONE,23.83540428,91.27999914
34,UTTAR PRADESH,67836.6,NORTH ZONE,27.59998069,78.05000565
35,UTTARAKHAND,20254.5,NORTH ZONE,30.32040895,78.05000565
36,WEST BENGAL,34398.1,EAST ZONE,22.58039044,88.32994665
