STATE_UT_NAME,District,Maximum Rainfall,Latitude,Longitude
ANDAMAN & NICOBAR,ANDAMAN,3015.7,11.7401, 92.6586
ANDHRA PRADESH,SRIKAKULAM,1165.2,18.2949, 83.8938
ARUNACHAL PRADESH,UPPER SIANG,4402.1,28.7589, 95.2267
ASSAM,KOKRAJHAR,3772.2,26.4014,90.2667
BIHAR,KISHANGANJ,2090.6,26.0982,87.9450
CHANDIGARH,CHANDIGARH,1070.6,30.7333,76.7794
CHHATTISGARH,JASHPUR,1544.4,21.2787,81.8661
DADRA &NAGAR HAVELI,DNH,2374.1,20.1809,73.0169
DAMAN & DIU,DAMAN,2374.1,20.3974,72.8328
DELHI,NEW DELHI,747.1,28.6139, 77.2090
GOA,SOUTH GOA,3471.4,15.1177, 74.1240
GUJARAT,VALSAD,2021.7,20.5992, 72.9342
HARYANA,PANCHKULA,1148.2,29.0588,76.0856
HIMACHAL PRADESH,KANGRA,2019.8,32.0998,76.2691
JAMMU & KASHMIR,POONCH,1474.1,33.7670,74.0924
JHARKHAND,PAKUR,1612.4,24.6337,87.8501
KARNATAKA,UDUPI,4306,13.3409,74.7421
KERALA,KASARGOD,3621.6,12.4996,74.9869
LAKSHADWEEP,KAVARATTI,1600,10.5593, 72.6358
MADHYA PRADESH,BALAGHAT,1481.6,21.8129,80.1838
MAHARASTRA,RATNAGIRI,3470.6,16.9902,73.3120
MANIPUR,TAMENGLONG,7229.3,24.9667,93.5500
MEGHALAYA,JAINTIA HILLS,6379.9,25.5021,92.3419
MIZORAM,AIZAWL,2814.4,23.7307,92.7173
NAGALAND,WOKHA,2497.7,26.0910, 94.2590
ORISSA,BALASORE,1679,21.4934,86.9135
PUDUCHERRY,KARAIKAL,1504.4,10.9254,79.8380
PUNJAB,GURDASPUR,1112.5,31.9400,75.2479
RAJASTHAN,JHALAWAR,920.2,24.5973,76.1610
SIKKIM,NORTH SIKKIM,3094.5,27.8236,88.5565
TAMIL NADU,NILGIRIS,1522.7,11.4916,76.7337
TELANGANA,ADILABAD,1120,19.6641,78.5320
TRIPURA,NORTH TRIPURA,2641.8,24.0797,92.2630
UTTAR PRADESH,MAHARAJGANJ,1389.1,27.1446,83.5622
UTTARAKHAND,RUDRAPRAYAG,2150.9,30.2844,78.9811
WEST BENGAL,JALPAIGURI,3468.3,26.5215,88.7196
